MemberID	Meetups_attended
194585216	5
231566523	1
157655022	0
103022222	0
204450054	0
226076996	3
197917967	0
136135802	0
229332401	0
130097292	1
222368718	1
229868297	0
222053149	1
190390662	1
177324062	2
222610396	1
186910445	3
216430312	0
215770442	0
223733341	0
232851150	0
222367754	1
197888950	2
214847245	1
215373153	0
139555262	0
221488862	0
235939913	0
224158005	0
225972533	2
202012639	1
216654147	5
228385338	1
175120772	2
10410179	3
188445750	0
68387072	0
229990126	0
222362891	0
217182416	0
186356752	0
147298222	3
76623772	0
215439721	0
186709904	3
86467652	1
203837370	3
192738047	0
213239275	3
220314234	1
215139442	2
216664200	0
239158289	0
37397172	2
215877685	0
214368081	1
197216318	1
80260242	0
206781129	1
189370900	0
231491444	2
146165942	6
224602570	1
146180222	0
119328802	0
231330099	1
214146732	2
222316967	0
198117110	9
164670202	2
132212532	4
218792841	1
222873881	0
184695882	0
229330843	0
189082109	0
214302568	4
199360126	0
72306632	0
193260704	0
92145662	3
236285026	0
212201950	0
167767542	1
208922698	1
210945122	0
239209885	0
171674532	1
193493174	1
13988285	0
189534010	3
206495362	1
94560722	0
208453594	0
223063381	0
128327352	0
142952572	0
222106522	1
203908015	0
193580359	0
234142292	0
213912988	0
71783582	0
197892674	2
226465497	1
200739809	2
96380042	0
234769110	0
215075747	2
235364346	0
225169626	0
226269979	1
214896481	1
221936378	0
213331076	1
222368061	1
217781044	6
214425452	3
212507669	2
222279831	1
227354465	0
213828796	1
215733992	2
22764791	0
44805632	4
10809260	2
217368980	0
185796801	3
213388578	0
215377448	3
217727369	8
13125110	1
234059076	0
145480292	5
184398551	0
186367772	1
194167698	5
215027223	0
214896465	2
222686266	0
222288645	0
230587313	1
217088808	0
216886049	0
186953481	1
218073343	2
173471182	0
211944026	0
186760411	3
154703082	0
145274172	5
229741734	0
22305751	3
227502426	0
69064332	0
188027240	1
197230927	3
81844652	0
159778052	0
125063062	1
204749627	6
230640955	0
219008214	0
234600096	1
226971223	0
228844542	1
236270469	0
231483724	1
232070703	0
220719600	0
108384182	2
6291270	0
222355615	0
209846006	1
140869042	0
224905239	0
187497978	2
76636652	5
234002122	0
10637138	4
163017892	0
223731758	0
225074873	0
221492764	1
185671538	7
197155668	1
41597572	0
223854897	1
216392696	0
183056182	0
191849541	0
226490835	0
200582017	0
215369366	0
237599962	0
111091162	2
227155056	0
207568720	0
168412302	1
220387277	0
214163687	0
145651472	1
212510996	0
227720311	1
231720817	0
5209164	1
189990453	0
154658912	6
199391323	2
211267936	0
223042944	0
218881406	0
224514029	0
201606573	3
214620867	0
212517597	3
233694263	1
188545693	2
185432241	1
222360057	0
230224630	0
212506378	1
194118551	1
236166837	0
217715220	1
182894843	0
122801002	2
202024058	1
227306291	0
222684167	1
237210789	0
106823912	0
199392524	1
87793312	2
215728967	0
186327911	0
39156702	1
197116411	1
224279475	0
211733359	0
195626613	1
216656872	2
217521513	3
182722988	10
13566987	1
222057105	1
182746592	1
231075409	0
107711992	1
208009844	0
230569071	1
157164682	3
14481251	3
224483491	0
183328551	0
187813488	0
221228005	1
12715305	0
229541098	0
232215130	0
141070732	0
193579336	2
210576825	2
197935963	0
214710482	1
188401366	0
38452532	1
215091087	0
196587244	10
226940026	0
231477713	1
107339932	0
121333022	10
217832585	2
202771822	2
222484697	0
212891298	1
157327032	2
178506162	5
217666780	0
223727638	2
220839041	2
191531370	0
238777687	0
231650486	0
114039262	0
233941058	1
194746064	1
184664045	2
228549252	0
221619837	0
222922144	1
227306304	0
233955334	0
14179481	0
237210785	0
231264648	2
225814827	0
13466744	7
226543908	0
16248801	0
212144532	7
212818917	1
212454407	0
43180212	2
86606172	1
236591609	0
213826438	2
237927578	0
201106938	0
225562588	0
158802102	0
223274840	0
217888567	0
93225072	2
48821532	1
210295307	1
228431380	0
216692820	0
65676182	0
204874421	1
113416342	1
208087351	5
214835138	1
185562593	3
134703262	1
224328257	1
185118170	0
208867877	1
222732135	0
142463492	1
227893275	0
184348389	0
217892484	0
217193510	0
199744105	1
146057072	1
189127929	1
227666311	1
130014582	0
232018066	1
228318083	0
182504437	0
188354006	1
223006324	0
215088394	0
9961505	0
233775666	0
222611791	0
189410415	2
207076947	0
217827899	2
220094032	0
215136942	1
222069658	1
207219716	0
28719992	2
130603472	1
196039427	0
233230545	1
211374759	0
234527640	1
234603646	1
196402206	1
199336042	1
229767599	0
117721912	0
222355657	1
65702672	0
221803979	6
216434504	1
194502984	4
